build,version,platforms
213098,6.1.2,freebsd-7.3-intel;FreeBSD7-amd64;darwin-64;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;Linux-arm;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
213964,5.0.9,FreeBSD7-amd64;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;Darwin-universal;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;AIX-powerpc;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
214064,6.0.5,FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;solaris-9-intel;HPUX-ia64;freebsd-7.3-intel;solaris-8-sparc;linux-2.6-amd64;HPUX-PARISC;SunOS9-sparc;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
220630,6.1.3,AIX-powerpc;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
228831,6.0.6,FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;freebsd-7.3-intel;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;SunOS9-sparc;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
233077,5.0.10,FreeBSD7-amd64;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;Darwin-universal;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;AIX-powerpc;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
233537,6.1.4,AIX-powerpc;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
237341,6.2.0,AIX-powerpc;linux-2.6-intel;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;SunOS10-sparc;solaris-10-sparc;solaris-10-intel;linux-2.6-amd64;x64-windows;Linux-i686;x86-windows;darwin-64
239630,6.1.5,FreeBSD7-amd64;darwin-64;solaris-9-sparc;SunOS-sparc;linux-2.6-intel;FreeBSD7-i386;x64-windows;Linux-i686;HPUX-PARISC;solaris-9-intel;freebsd-7.3-intel;solaris-8-sparc;linux-2.6-amd64;HPUX-ia64;SunOS9-sparc;AIX-powerpc;SunOS-i386;SunOS-x86_64;Linux-x86_64;linux-2.6-x86_64;solaris-10-intel;freebsd-7.3-amd64;x86-windows
241655,5.0.11,AIX-powerpc;solaris-9-intel;linux-2.6-intel;SunOS-i386;SunOS-x86_64;FreeBSD7-amd64;Linux-x86_64;linux-2.6-x86_64;freebsd-7.3-amd64;freebsd-7.3-intel;solaris-8-sparc;darwin-64;solaris-10-intel;linux-2.6-amd64;x64-windows;HPUX-ia64;FreeBSD7-i386;Linux-i686;HPUX-PARISC;x86-windows;SunOS-sparc
